Secretaria;Municipio;Descricao;Mat. Total;Mat. Semipresencial;Mat. Presencial;Quantidade de Turmas;Enturmados;Não Enturmados;Status
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23060956 - BATOQUE EMEF - 6º Ano| Ensino Fundamental | Regular | Integral (35h M/T);40;0;40;1;40;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23060956 - BATOQUE EMEF - 7º Ano| Ensino Fundamental | Regular | Integral (35h M/T);45;0;45;1;45;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23060956 - BATOQUE EMEF - 8º Ano| Ensino Fundamental | Regular | Integral (35h M/T);43;0;43;1;43;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23060956 - BATOQUE EMEF - 9º Ano| Ensino Fundamental | Regular | Integral (35h M/T);33;0;33;1;33;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23280492 - CEI FRANCISCO JOAQUIM DOS ANJOS;188;0;188;10;188;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23280492 - CEI FRANCISCO JOAQUIM DOS ANJOS - Creche (0 a 3 anos)| Educação Infantil | Regular | Integral (40h);67;0;67;4;67;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23280492 - CEI FRANCISCO JOAQUIM DOS ANJOS - Creche (0 a 3 anos)| Educação Infantil | Regular | Manhã;16;0;16;1;16;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23280492 - CEI FRANCISCO JOAQUIM DOS ANJOS - Creche (0 a 3 anos)| Educação Infantil | Regular | Tarde;21;0;21;1;21;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23280492 - CEI FRANCISCO JOAQUIM DOS ANJOS - Pré-escola (4 e 5 anos)| Educação Infantil | Regular | Manhã;43;0;43;2;43;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23280492 - CEI FRANCISCO JOAQUIM DOS ANJOS - Pré-escola (4 e 5 anos)| Educação Infantil | Regular | Tarde;41;0;41;2;41;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23263598 - CENTRO DE EDUCAÇÃO DE JOVENS E ADULTOS;212;164;48;3;48;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23263598 - CENTRO DE EDUCAÇÃO DE JOVENS E ADULTOS - EJA Presencial - Anos finais| Ensino Fundamental | Ensino de Jovens e Adultos | Flexível;0;0;0;0;0;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23263598 - CENTRO DE EDUCAÇÃO DE JOVENS E ADULTOS - EJA Presencial - Anos iniciais| Ensino Fundamental | Ensino de Jovens e Adultos | Manhã;11;0;11;1;11;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23263598 - CENTRO DE EDUCAÇÃO DE JOVENS E ADULTOS - EJA Presencial - Anos iniciais| Ensino Fundamental | Ensino de Jovens e Adultos | Noite;22;0;22;1;22;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23263598 - CENTRO DE EDUCAÇÃO DE JOVENS E ADULTOS - EJA Presencial - Anos iniciais| Ensino Fundamental | Ensino de Jovens e Adultos | Tarde;15;0;15;1;15;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23263598 - CENTRO DE EDUCAÇÃO DE JOVENS E ADULTOS - EJA Semipresencial - Anos finais| Ensino Fundamental | Ensino de Jovens e Adultos | Flexível;164;164;0;0;0;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564385 - CENTRO DE EDUCAÇÃO E CIDADANIA MANUEL ASSUNÇÃO PIRES;531;0;531;22;531;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564385 - CENTRO DE EDUCAÇÃO E CIDADANIA MANUEL ASSUNÇÃO PIRES - 1º Ano| Ensino Fundamental | Regular | Manhã;28;0;28;1;28;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564385 - CENTRO DE EDUCAÇÃO E CIDADANIA MANUEL ASSUNÇÃO PIRES - 1º Ano| Ensino Fundamental | Regular | Tarde;26;0;26;1;26;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564385 - CENTRO DE EDUCAÇÃO E CIDADANIA MANUEL ASSUNÇÃO PIRES - 2º Ano| Ensino Fundamental | Regular | Integral (40h);52;0;52;2;52;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564385 - CENTRO DE EDUCAÇÃO E CIDADANIA MANUEL ASSUNÇÃO PIRES - 3º Ano| Ensino Fundamental | Regular | Manhã;21;0;21;1;21;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564385 - CENTRO DE EDUCAÇÃO E CIDADANIA MANUEL ASSUNÇÃO PIRES - 3º Ano| Ensino Fundamental | Regular | Tarde;22;0;22;1;22;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564385 - CENTRO DE EDUCAÇÃO E CIDADANIA MANUEL ASSUNÇÃO PIRES - 4º Ano| Ensino Fundamental | Regular | Manhã;23;0;23;1;23;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564385 - CENTRO DE EDUCAÇÃO E CIDADANIA MANUEL ASSUNÇÃO PIRES - 4º Ano| Ensino Fundamental | Regular | Tarde;22;0;22;1;22;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564385 - CENTRO DE EDUCAÇÃO E CIDADANIA MANUEL ASSUNÇÃO PIRES - 5º Ano| Ensino Fundamental | Regular | Integral (40h);33;0;33;1;33;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564385 - CENTRO DE EDUCAÇÃO E CIDADANIA MANUEL ASSUNÇÃO PIRES - 6º Ano| Ensino Fundamental | Regular | Integral (35h M/T);43;0;43;1;43;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564385 - CENTRO DE EDUCAÇÃO E CIDADANIA MANUEL ASSUNÇÃO PIRES - 7º Ano| Ensino Fundamental | Regular | Integral (35h M/T);46;0;46;2;46;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564385 - CENTRO DE EDUCAÇÃO E CIDADANIA MANUEL ASSUNÇÃO PIRES - 8º Ano| Ensino Fundamental | Regular | Integral (35h M/T);53;0;53;2;53;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564385 - CENTRO DE EDUCAÇÃO E CIDADANIA MANUEL ASSUNÇÃO PIRES - 9º Ano| Ensino Fundamental | Regular | Integral (35h M/T);48;0;48;2;48;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564385 - CENTRO DE EDUCAÇÃO E CIDADANIA MANUEL ASSUNÇÃO PIRES - Creche (0 a 3 anos)| Educação Infantil | Regular | Manhã;20;0;20;1;20;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564385 - CENTRO DE EDUCAÇÃO E CIDADANIA MANUEL ASSUNÇÃO PIRES - Creche (0 a 3 anos)| Educação Infantil | Regular | Tarde;19;0;19;1;19;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564385 - CENTRO DE EDUCAÇÃO E CIDADANIA MANUEL ASSUNÇÃO PIRES - Pré-escola (4 e 5 anos)| Educação Infantil | Regular | Manhã;38;0;38;2;38;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564385 - CENTRO DE EDUCAÇÃO E CIDADANIA MANUEL ASSUNÇÃO PIRES - Pré-escola (4 e 5 anos)| Educação Infantil | Regular | Tarde;37;0;37;2;37;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO;562;0;562;26;562;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO - 1º Ano| Ensino Fundamental | Regular | Manhã;21;0;21;1;21;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO - 1º Ano| Ensino Fundamental | Regular | Tarde;20;0;20;1;20;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO - 2º Ano| Ensino Fundamental | Regular | Manhã;25;0;25;1;25;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO - 2º Ano| Ensino Fundamental | Regular | Tarde;25;0;25;1;25;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO - 3º Ano| Ensino Fundamental | Regular | Manhã;24;0;24;1;24;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO - 3º Ano| Ensino Fundamental | Regular | Tarde;19;0;19;1;19;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO - 4º Ano| Ensino Fundamental | Regular | Manhã;28;0;28;1;28;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO - 4º Ano| Ensino Fundamental | Regular | Tarde;29;0;29;1;29;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO - 5º Ano| Ensino Fundamental | Regular | Manhã;30;0;30;1;30;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO - 5º Ano| Ensino Fundamental | Regular | Tarde;30;0;30;1;30;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO - 6º Ano| Ensino Fundamental | Regular | Integral (35h M/T);43;0;43;2;43;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO - 7º Ano| Ensino Fundamental | Regular | Integral (35h M/T);56;0;56;2;56;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO - 8º Ano| Ensino Fundamental | Regular | Integral (35h M/T);48;0;48;2;48;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO - 9º Ano| Ensino Fundamental | Regular | Integral (35h M/T);45;0;45;2;45;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO - Creche (0 a 3 anos)| Educação Infantil | Regular | Manhã;30;0;30;2;30;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO - Creche (0 a 3 anos)| Educação Infantil | Regular | Tarde;6;0;6;1;6;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO - Pré-escola (4 e 5 anos)| Educação Infantil | Regular | Manhã;37;0;37;2;37;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061251 - CENTRO DE EDUCACAO E CIDADANIA MARIA DE CASTRO BERNARDO - Pré-escola (4 e 5 anos)| Educação Infantil | Regular | Tarde;46;0;46;3;46;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061634 - CLARENCIO CRISOSTOMO DE FREITAS EMEF;190;0;190;8;190;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061634 - CLARENCIO CRISOSTOMO DE FREITAS EMEF - 1º Ano| Ensino Fundamental | Regular | Manhã;26;0;26;1;26;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061634 - CLARENCIO CRISOSTOMO DE FREITAS EMEF - 2º Ano| Ensino Fundamental | Regular | Manhã;14;0;14;1;14;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061634 - CLARENCIO CRISOSTOMO DE FREITAS EMEF - 2º Ano| Ensino Fundamental | Regular | Tarde;15;0;15;1;15;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061634 - CLARENCIO CRISOSTOMO DE FREITAS EMEF - 3º Ano| Ensino Fundamental | Regular | Tarde;22;0;22;1;22;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061634 - CLARENCIO CRISOSTOMO DE FREITAS EMEF - 4º Ano| Ensino Fundamental | Regular | Manhã;36;0;36;1;36;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061634 - CLARENCIO CRISOSTOMO DE FREITAS EMEF - 5º Ano| Ensino Fundamental | Regular | Manhã;29;0;29;1;29;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061634 - CLARENCIO CRISOSTOMO DE FREITAS EMEF - Pré-escola (4 e 5 anos)| Educação Infantil | Regular | Tarde;27;0;27;1;27;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061634 - CLARENCIO CRISOSTOMO DE FREITAS EMEF - Unificada (0 a 5 anos)| Educação Infantil | Regular | Manhã;21;0;21;1;21;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061405 - CRIANCA FELIZ CRECHE;223;0;223;13;223;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061405 - CRIANCA FELIZ CRECHE - Creche (0 a 3 anos)| Educação Infantil | Regular | Integral (40h);48;0;48;3;48;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061405 - CRIANCA FELIZ CRECHE - Creche (0 a 3 anos)| Educação Infantil | Regular | Manhã;40;0;40;2;40;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061405 - CRIANCA FELIZ CRECHE - Creche (0 a 3 anos)| Educação Infantil | Regular | Tarde;23;0;23;1;23;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061405 - CRIANCA FELIZ CRECHE - Pré-escola (4 e 5 anos)| Educação Infantil | Regular | Manhã;62;0;62;4;62;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061405 - CRIANCA FELIZ CRECHE - Pré-escola (4 e 5 anos)| Educação Infantil | Regular | Tarde;50;0;50;3;50;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061758 - DIONISIA GUERRA EMEF;144;0;144;6;144;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061758 - DIONISIA GUERRA EMEF - 1º Ano| Ensino Fundamental | Regular | Manhã;18;0;18;1;18;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061758 - DIONISIA GUERRA EMEF - 1º Ano| Ensino Fundamental | Regular | Tarde;16;0;16;1;16;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061758 - DIONISIA GUERRA EMEF - 2º Ano| Ensino Fundamental | Regular | Integral (40h);23;0;23;1;23;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061758 - DIONISIA GUERRA EMEF - 3º Ano| Ensino Fundamental | Regular | Tarde;25;0;25;1;25;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061758 - DIONISIA GUERRA EMEF - 4º Ano| Ensino Fundamental | Regular | Manhã;33;0;33;1;33;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061758 - DIONISIA GUERRA EMEF - 5º Ano| Ensino Fundamental | Regular | Manhã;29;0;29;1;29;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23276088 - EDILCELIA FREITAS VASCONCELOS CEI;195;0;195;13;195;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23276088 - EDILCELIA FREITAS VASCONCELOS CEI - Creche (0 a 3 anos)| Educação Infantil | Regular | Integral (40h);112;0;112;8;112;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23276088 - EDILCELIA FREITAS VASCONCELOS CEI - Pré-escola (4 e 5 anos)| Educação Infantil | Regular | Manhã;51;0;51;3;51;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23276088 - EDILCELIA FREITAS VASCONCELOS CEI - Pré-escola (4 e 5 anos)| Educação Infantil | Regular | Tarde;32;0;32;2;32;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061022 - ERNESTO GURGEL VALENTE EMEF;962;0;962;23;962;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061022 - ERNESTO GURGEL VALENTE EMEF - 6º Ano| Ensino Fundamental | Regular | Manhã;126;0;126;3;126;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061022 - ERNESTO GURGEL VALENTE EMEF - 6º Ano| Ensino Fundamental | Regular | Tarde;111;0;111;3;111;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061022 - ERNESTO GURGEL VALENTE EMEF - 7º Ano| Ensino Fundamental | Regular | Integral (35h M/T);230;0;230;5;230;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061022 - ERNESTO GURGEL VALENTE EMEF - 8º Ano| Ensino Fundamental | Regular | Integral (35h M/T);247;0;247;6;247;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061022 - ERNESTO GURGEL VALENTE EMEF - 9º Ano| Ensino Fundamental | Regular | Integral (35h M/T);248;0;248;6;248;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23262672 - FERDINANDO TANSI CENTRO EDUCACIONAL MUNICIPAL;185;0;185;8;185;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23262672 - FERDINANDO TANSI CENTRO EDUCACIONAL MUNICIPAL - 1º Ano| Ensino Fundamental | Regular | Manhã;19;0;19;1;19;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23262672 - FERDINANDO TANSI CENTRO EDUCACIONAL MUNICIPAL - 1º Ano| Ensino Fundamental | Regular | Tarde;15;0;15;1;15;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23262672 - FERDINANDO TANSI CENTRO EDUCACIONAL MUNICIPAL - 2º Ano| Ensino Fundamental | Regular | Manhã;30;0;30;1;30;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23262672 - FERDINANDO TANSI CENTRO EDUCACIONAL MUNICIPAL - 3º Ano| Ensino Fundamental | Regular | Tarde;23;0;23;1;23;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23262672 - FERDINANDO TANSI CENTRO EDUCACIONAL MUNICIPAL - 4º Ano| Ensino Fundamental | Regular | Tarde;21;0;21;1;21;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23262672 - FERDINANDO TANSI CENTRO EDUCACIONAL MUNICIPAL - 5º Ano| Ensino Fundamental | Regular | Manhã;36;0;36;1;36;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23262672 - FERDINANDO TANSI CENTRO EDUCACIONAL MUNICIPAL - Pré-escola (4 e 5 anos)| Educação Infantil | Regular | Tarde;17;0;17;1;17;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23262672 - FERDINANDO TANSI CENTRO EDUCACIONAL MUNICIPAL - Unificada (0 a 5 anos)| Educação Infantil | Regular | Manhã;24;0;24;1;24;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23264284 - FERNANDA DE BRITO CEI;262;0;262;15;262;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23264284 - FERNANDA DE BRITO CEI - Creche (0 a 3 anos)| Educação Infantil | Regular | Integral (40h);9;0;9;1;9;0;OK
